Name,Code,Market
액스비스,0011A0,KRX
에스팀,458350,KRX
케이뱅크,279570,KRX
덕양에너젠,0001A0,KRX
삼성스팩13호,0115H0,KRX
엔비알모션,0004V0,KRX
지에프아이,493330,KRX
삼미금속,012210,KRX
세미파이브,490470,KRX
리브스메드,491000,KRX
미래에셋비전스팩10호,0097F0,KRX
미래에셋비전스팩11호,0099W0,KRX
삼진식품,0013V0,KRX
엔더블유시,059180,KRX
하나36호스팩,0101C0,KRX
IBKS제25호스팩,0099X0,KRX
알지노믹스,476830,KRX
나라스페이스테크놀로지,478340,KRX
아크릴,0007C0,KRX
메리츠제1호스팩,0088D0,KRX
티엠씨,217590,KRX
교보19호스팩,0098T0,KRX
쿼드메디슨,464490,KRX
키움히어로제1호스팩,466690,KRX
유진스팩12호,0105P0,KRX
이지스,261520,KRX
페스카로,0015S0,KRX
테라뷰,950250,KRX
엔에이치스팩32호,0054V0,KRX
에임드바이오,0009K0,KRX
미래에셋비전스팩9호,0096D0,KRX
삼성스팩12호,0096B0,KRX
미래에셋비전스팩8호,0093G0,KRX
아로마티카,0015N0,KRX
삼성에피스홀딩스,0126Z0,KRX
삼양바이오팜,0120G0,KRX
신영스팩11호,0091W0,KRX
비엔케이제3호스팩,0068Y0,KRX
비츠로넥스텍,488900,KRX
씨엠티엑스,388210,KRX
더핑크퐁컴퍼니,403850,KRX
아이엘로보틱스,403810,KRX
그린광학,0015G0,KRX
알트,459550,KRX
세나테크놀로지,061090,KRX
큐리오시스,494120,KRX
이노테크,469610,KRX
노타,486990,KRX
삼익제약,014950,KRX
명인제약,317450,KRX
KB제33호스팩,0072Z0,KRX
삼성스팩11호,0071M0,KRX
에스투더블유,488280,KRX
오아,342870,KRX
본시스템즈,496320,KRX
그래피,318060,KRX
애드포러스,397810,KRX
삼성스팩10호,0044K0,KRX
제이피아이헬스케어,0010V0,KRX
한라캐스트,125490,KRX
에스엔시스,0008Z0,KRX
삼양컴텍,484590,KRX
교보18호스팩,0041B0,KRX
지투지바이오,456160,KRX
아이티켐,309710,KRX
하나35호스팩,0041L0,KRX
대한조선,439260,KRX
프로티나,468530,KRX
엔알비,475230,KRX
뉴로핏,380550,KRX
도우인시스,484120,KRX
디비금융제14호스팩,0004Y0,KRX
엘에스스팩1호,0041J0,KRX
아우토크립트,331740,KRX
대신밸류리츠,0030R0,KRX
뉴키즈온,462310,KRX
싸이닉솔루션,234030,KRX
KB제32호스팩,0037T0,KRX
뉴엔AI,463020,KRX
지에프씨생명과학,388610,KRX
케이지에이,455180,KRX
지씨지놈,340450,KRX
링크솔루션,474650,KRX
키스트론,475430,KRX
신한제16호스팩,496070,KRX
인투셀,287840,KRX
달바글로벌,483650,KRX
바이오비쥬,489460,KRX
이뮨온시아,424870,KRX
바이오포트,188040,KRX
티씨머티리얼즈,125020,KRX
로킷헬스케어,376900,KRX
오가노이드사이언스,476040,KRX
원일티엔아이,136150,KRX
나우로보틱스,459510,KRX
에이아이코리아,364950,KRX
쎄크,081180,KRX
한국피아이엠,448900,KRX
에이유브랜즈,481070,KRX
우양에이치씨,101970,KRX
더즌,462860,KRX
심플랫폼,444530,KRX
티엑스알로보틱스,484810,KRX
한텍,098070,KRX
한화플러스제5호스팩,498390,KRX
씨케이솔루션,480370,KRX
서울보증보험,031210,KRX
에스엠씨지,460870,KRX
엠디바이스,226590,KRX
대진첨단소재,393970,KRX
에르코스,435570,KRX
엘케이켐,489500,KRX
위너스,479960,KRX
모티브링크,463480,KRX
동국생명과학,303810,KRX
오름테라퓨틱,475830,KRX
동방메디컬,240550,KRX
아이에스티이,212710,KRX
LG씨엔에스,064400,KRX
아이지넷,462980,KRX
피아이이,452450,KRX
삼양엔씨켐,482630,KRX
데이원컴퍼니,373160,KRX
아스테라시스,450950,KRX
와이즈넛,096250,KRX
미트박스,475460,KRX
유안타제17호스팩,493790,KRX
블랙야크아이앤씨,478560,KRX
오션스바이오,332190,KRX
엠에프씨,432980,KRX
파인메딕스,387570,KRX
쓰리에이로직스,177900,KRX
GS피앤엘,499790,KRX
신한제14호스팩,487360,KRX
유비씨,495810,KRX
창대정밀,368030,KRX
듀켐바이오,176750,KRX
키움제10호스팩,487720,KRX
에스지헬스케어,398120,KRX
온코닉테라퓨틱스,476060,KRX
온코크로스,382150,KRX
벡트,457600,KRX
엠앤씨솔루션,484870,KRX
셀로맥스사이언스,471820,KRX
KB제31호스팩,492220,KRX
키움제11호스팩,489480,KRX
KB발해인프라,415640,KRX
디비금융제13호스팩,489730,KRX
교보17호스팩,489210,KRX
대신밸런스제19호스팩,482690,KRX
위츠,459100,KRX
유디엠텍,389680,KRX
RF시스템즈,474610,KRX
사이냅소프트,466410,KRX
하나34호스팩,484130,KRX
에스켐,475660,KRX
엠오티,413390,KRX
신한제15호스팩,487830,KRX
쓰리빌리언,394800,KRX
닷밀,464580,KRX
노머스,473980,KRX
에어레인,163280,KRX
토모큐브,475960,KRX
더본코리아,475560,KRX
HEM파마,376270,KRX
에이럭스,475580,KRX
탑런토탈솔루션,336680,KRX
성우,458650,KRX
유진스팩11호,488060,KRX
타조이엔터테인먼트,476710,KRX
클로봇,466100,KRX
에이치엔에스하이텍,044990,KRX
웨이비스,289930,KRX
씨메스,475400,KRX
한켐,457370,KRX
루미르,474170,KRX
와이제이링크,209640,KRX
인스피언,465480,KRX
셀비온,308430,KRX
제닉스로보틱스,381620,KRX
차이커뮤니케이션,351870,KRX
한화비전,489790,KRX
KB제30호스팩,486630,KRX
아이언디바이스,464500,KRX
미래에셋비전스팩7호,482680,KRX
아이비젼웍스,469750,KRX
아이스크림미디어,461300,KRX
이엔셀,456070,KRX
M83,476080,KRX
티디에스팜,464280,KRX
넥스트바이오메디컬,389650,KRX
케이쓰리아이,431190,KRX
전진건설로봇,079900,KRX
유라클,088340,KRX
교보16호스팩,482520,KRX
뱅크웨어글로벌,199480,KRX
아이빔테크놀로지,460470,KRX
피앤에스로보틱스,460940,KRX
HS효성,487570,KRX
산일전기,062040,KRX
엔에이치스팩31호,481890,KRX
SK증권제13호스팩,473950,KRX
엑셀세라퓨틱스,373110,KRX
이베스트스팩6호,478110,KRX
시프트업,462870,KRX
하스,450330,KRX
이노스페이스,462350,KRX
신한글로벌액티브리츠,481850,KRX
에이치브이엠,295310,KRX
팡스카이,266350,KRX
하이젠알앤엠,160190,KRX
한국제15호스팩,479880,KRX
에스오에스랩,464080,KRX
미래에셋비전스팩6호,478440,KRX
에이치엠씨제7호스팩,477340,KRX
파라다이스,034230,KRX
한중엔시에스,107640,KRX
KB제29호스팩,478390,KRX
미래에셋비전스팩5호,477470,KRX
씨어스테크놀로지,458870,KRX
디비금융스팩12호,477760,KRX
라메디텍,462510,KRX
그리드위즈,453450,KRX
다원넥스뷰,323350,KRX
미래에셋비전스팩4호,477380,KRX
노브랜드,145170,KRX
아이씨티케이,456010,KRX
HD현대마린솔루션,443060,KRX
SK증권제12호스팩,473000,KRX
코칩,126730,KRX
민테크,452200,KRX
카티스,140430,KRX
디앤디파마텍,347850,KRX
유안타제16호스팩,474490,KRX
제일엠앤에스,412540,KRX
삐아,451250,KRX
하나33호스팩,475250,KRX
신한제13호스팩,474930,KRX
신한제12호스팩,474660,KRX
아이엠비디엑스,461030,KRX
SK이터닉스,475150,KRX
하나32호스팩,475240,KRX
엔젤로보틱스,455900,KRX
제이투케이바이오,420570,KRX
삼현,437730,KRX
오상헬스케어,036220,KRX
케이엔알시스템,199430,KRX
비엔케이제2호스팩,473370,KRX
하나31호스팩,469900,KRX
SK증권제11호스팩,472230,KRX
유안타제15호스팩,473050,KRX
유진스팩10호,468760,KRX
에이피알,278470,KRX
E8,418620,KRX
코셈,360350,KRX
케이웨더,068100,KRX
사피엔반도체,452430,KRX
에스피소프트,443670,KRX
스튜디오삼익,415380,KRX
신영스팩10호,472220,KRX
폰드그룹,472850,KRX
IBKS제24호스팩,469480,KRX
레이저옵텍,199550,KRX
이닉스,452400,KRX
엘앤에프,066970,KRX
포스뱅크,105760,KRX
현대힘스,460930,KRX
HB인베스트먼트,440290,KRX
드림인사이트,362990,KRX
대신밸런스제17호스팩,471050,KRX
우진엔텍,457550,KRX
세븐브로이맥주,267080,KRX
한빛레이저,452190,KRX
포스코DX,022100,KRX
DS단석,017860,KRX
IBKS제23호스팩,467930,KRX
하나30호스팩,469880,KRX
씨싸이트,109670,KRX
블루엠텍,439580,KRX
LS머트리얼즈,417200,KRX
케이엔에스,432470,KRX
교보15호스팩,465320,KRX
와이바이오로직스,338840,KRX
에이텀,355690,KRX
엔에이치스팩30호,466910,KRX
에이에스텍,453860,KRX
그린리소스,402490,KRX
제이엔비,452160,KRX
한선엔지니어링,452280,KRX
동인기연,111380,KRX
에코아이,448280,KRX
스톰테크,352090,KRX
에코프로머티,450080,KRX
캡스톤파트너스,452300,KRX
프로젠,296160,KRX
에스와이스틸텍,365330,KRX
에이직랜드,445090,KRX
한국제13호스팩,464440,KRX
메가터치,446540,KRX
비아이매트릭스,413640,KRX
컨텍,451760,KRX
큐로셀,372320,KRX
쏘닉스,088280,KRX
KB제27호스팩,464680,KRX
세니젠,188260,KRX
파라택시스이더리움,290560,KRX
유진테크놀로지,240600,KRX
유투바이오,221800,KRX
퀄리타스반도체,432720,KRX
미쥬,351020,KRX
워트,396470,KRX
에스엘에스바이오,246250,KRX
신성에스티,416180,KRX
퓨릿,445180,KRX
바이오텐,289170,KRX
에이치엠씨제6호스팩,462020,KRX
아이엠티,451220,KRX
레뷰코퍼레이션,443250,KRX
두산로보틱스,454910,KRX
신한제11호스팩,452980,KRX
한싹,430690,KRX
KT밀리의서재,418470,KRX
인스웨이브,450520,KRX
우듬지팜,403490,KRX
코어라인소프트,384470,KRX
STX그린로지스,465770,KRX
상상인제4호스팩,452670,KRX
율촌,146060,KRX
한화플러스제4호스팩,455310,KRX
대신밸런스제16호스팩,457630,KRX
유안타제11호스팩,444920,KRX
크라우드웍스,355390,KRX
